RowID,Diameter(cm),Height(cm),Date,Location,Species,Browsed,Coordinates,Notes,CanopyScore,Browsed_raw,Browsed_norm,height_cm,diam_cm,canopy_score,LifeStage,Species_code,oak_group,Site,browsed_bin,Date_parsed,height_class,coord_lat,coord_lon
0,,100,8/?/24,W2,SAAL,Unkown,Unknown,1st Transect on W2,,Unkown,,100.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
1,,60,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,,60.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
2,,40,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,,40.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
3,,30,8/?/24,W2,OSVI,Unkown,Unknown,|,,Unkown,,30.0,,,Seedling,OSVI,non-oak,Nature Park,,,30–99 cm,,
4,,15,8/?/24,W2,OSVI,Unkown,Unknown,|,,Unkown,,15.0,,,Seedling,OSVI,non-oak,Nature Park,,,10–29 cm,,
5,,30,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,,30.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
6,,40,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,,40.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
7,,60,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,,60.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
8,,70,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,,70.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
9,,70,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,,70.0,,,Seedling,LITU,non-oak,Nature Park,,,30–99 cm,,
10,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
11,,150,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,150.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
12,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
13,,50,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,50.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
14,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,100.0,,,Seedling,SAAL,non-oak,Nature Park,,,≥100 cm,,
15,,80,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,,80.0,,,Seedling,SAAL,non-oak,Nature Park,,,30–99 cm,,
16,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,,25.0,,,Seedling,QURU,red_oak,Nature Park,,,10–29 cm,,
17,,30,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,,30.0,,,Seedling,LITU,non-oak,Nature Park,,,30–99 cm,,
18,,20,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,,20.0,,,Seedling,LITU,non-oak,Nature Park,,,10–29 cm,,
