RowID,Diameter(cm),Height(cm),Date,Location,Species,Browsed,Coordinates,Notes,CanopyScore,Browsed_raw,Browsed_norm,height_cm,diam_cm,canopy_score,LifeStage,Species_code,oak_group,Site,height_class,Lat,Lon
0,,100,8/?/24,W2,SAAL,Unkown,Unknown,1st Transect on W2,,Unkown,Unknown,100.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
1,,60,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,60.0,,,Sapling,SAAL,non_oak,Nature Park,60–100,,
2,,40,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,40.0,,,Sapling,SAAL,non_oak,Nature Park,30–60,,
3,,30,8/?/24,W2,OSVI,Unkown,Unknown,|,,Unkown,Unknown,30.0,,,Sapling,OSVI,non_oak,Nature Park,30–60,,
4,,15,8/?/24,W2,OSVI,Unkown,Unknown,|,,Unkown,Unknown,15.0,,,Seedling,OSVI,non_oak,Nature Park,10–30,,
5,,30,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,30.0,,,Sapling,SAAL,non_oak,Nature Park,30–60,,
6,,40,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,40.0,,,Sapling,SAAL,non_oak,Nature Park,30–60,,
7,,60,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,60.0,,,Sapling,SAAL,non_oak,Nature Park,60–100,,
8,,70,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,70.0,,,Sapling,SAAL,non_oak,Nature Park,60–100,,
9,,70,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,70.0,,,Sapling,LITU,non_oak,Nature Park,60–100,,
10,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
11,,150,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,150.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
12,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
13,,50,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Sapling,SAAL,non_oak,Nature Park,30–60,,
14,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
15,,80,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,80.0,,,Sapling,SAAL,non_oak,Nature Park,60–100,,
16,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
17,,30,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Sapling,LITU,non_oak,Nature Park,30–60,,
18,,20,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,LITU,non_oak,Nature Park,10–30,,
19,,15,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,LITU,non_oak,Nature Park,10–30,,
20,,20,8/?/24,W2,ACSA,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,ACSA,non_oak,Nature Park,10–30,,
21,,10,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,OSVI,non_oak,Nature Park,10–30,,
22,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park,10–30,,
23,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,OSVI,non_oak,Nature Park,100–200,,
24,,20,8/?/24,W2,ACSA,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,ACSA,non_oak,Nature Park,10–30,,
25,,40,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,40.0,,,Sapling,OSVI,non_oak,Nature Park,30–60,,
26,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
27,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Sapling,SAAL,non_oak,Nature Park,100–200,,
28,,130,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,130.0,,,Sapling,OSVI,non_oak,Nature Park,100–200,,
