RowID,Diameter(cm),Height(cm),Date,Location,Species,Browsed,Coordinates,Notes,CanopyScore,Browsed_raw,Browsed_norm,height_cm,diam_cm,canopy_score,LifeStage,Species_code,oak_group,Site
0,,100,8/?/24,W2,SAAL,Unkown,Unknown,1st Transect on W2,,Unkown,Unknown,100.0,,,Seedling,SAAL,non_oak,Nature Park
1,,60,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,60.0,,,Seedling,SAAL,non_oak,Nature Park
2,,40,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,40.0,,,Seedling,SAAL,non_oak,Nature Park
3,,30,8/?/24,W2,OSVI,Unkown,Unknown,|,,Unkown,Unknown,30.0,,,Seedling,OSVI,non_oak,Nature Park
4,,15,8/?/24,W2,OSVI,Unkown,Unknown,|,,Unkown,Unknown,15.0,,,Seedling,OSVI,non_oak,Nature Park
5,,30,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,30.0,,,Seedling,SAAL,non_oak,Nature Park
6,,40,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,40.0,,,Seedling,SAAL,non_oak,Nature Park
7,,60,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,60.0,,,Seedling,SAAL,non_oak,Nature Park
8,,70,8/?/24,W2,SAAL,Unkown,Unknown,|,,Unkown,Unknown,70.0,,,Seedling,SAAL,non_oak,Nature Park
9,,70,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,70.0,,,Seedling,LITU,non_oak,Nature Park
10,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
11,,150,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,150.0,,,Seedling,SAAL,non_oak,Nature Park
12,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,SAAL,non_oak,Nature Park
13,,50,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,50.0,,,Seedling,SAAL,non_oak,Nature Park
14,,100,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,SAAL,non_oak,Nature Park
15,,80,8/?/24,W2,SAAL,Unknown,Unknown,|,,Unknown,Unknown,80.0,,,Seedling,SAAL,non_oak,Nature Park
16,,25,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,25.0,,,Seedling,QURU,red_oak,Nature Park
17,,30,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,30.0,,,Seedling,LITU,non_oak,Nature Park
18,,20,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,LITU,non_oak,Nature Park
19,,15,8/?/24,W2,LITU,Unknown,Unknown,|,,Unknown,Unknown,15.0,,,Seedling,LITU,non_oak,Nature Park
20,,20,8/?/24,W2,ACSA,Unknown,Unknown,|,,Unknown,Unknown,20.0,,,Seedling,ACSA,non_oak,Nature Park
21,,10,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,OSVI,non_oak,Nature Park
22,,10,8/?/24,W2,QURU,Unknown,Unknown,|,,Unknown,Unknown,10.0,,,Seedling,QURU,red_oak,Nature Park
23,,100,8/?/24,W2,OSVI,Unknown,Unknown,|,,Unknown,Unknown,100.0,,,Seedling,OSVI,non_oak,Nature Park
